GRUPO;CONSULTA_PORTAL;TIPO_CONSULTA;FILTRO;CAMPO_PORTAL;MIGALHA;PERMITE_SELECAO;PERMITE_CLIQUE;POSSUI_TOOLTIP;TOOLTIP_DESCRICAO_PORTAL;OBSERVACAO;CAMPO_DERIVADO;ORIGEM_DADOS;CAMPO_ORIGEM_DADOS;DIMENSAO_ORIGEM_DADOS;TOOLTIP_ORIGEM_DADOS
Convênios;Convênios / Parcerias de Saída de Recursos;Pesquisa Básica;;Ano;Página Inicial / Convênios / Convênio / Parcerias de Saída de Recursos;sim;não;não;-;-;;armazém SIAFI;Ano de exercício;Período Contábil ;Ano de exercício do Orçamento Fiscal (Formato AAAA)
Convênios;Convênios / Parcerias de Saída de Recursos;Pesquisa Básica;;Concedente / Órgão ou Entidade Estadual Parceiro;Página Inicial / Convênios / Convênio / Parcerias de Saída de Recursos;sim;não;não;-;-;;;;;
Convênios;Convênios / Parcerias de Saída de Recursos;Pesquisa Básica;;Inicio/Fim;Página Inicial / Convênios / Convênio / Parcerias de Saída de Recursos;sim;não;não;-;-;;armazém SIAFI;Mês - Númerico;Período Contábil ;Mês numérico de registro do documento SIAFI (0 a 14)
Convênios;Convênios / Parcerias de Saída de Recursos;Pesquisa Básica;Concedente / Órgão ou Entidade Estadual Parceiro;Código;Página Inicial / Convênios / Convênio / Parcerias de Saída de Recursos;não;não;não;-;;;;;;
Convênios;Convênios / Parcerias de Saída de Recursos;Pesquisa Básica;Concedente / Órgão ou Entidade Estadual Parceiro;Concedente / Órgão ou Entidade Estadual Parceiro;Página Inicial / Convênios / Convênio / Parcerias de Saída de Recursos;não;sim;sim;Órgão/entidade que celebrou o convênio ou a parceria entre o governo estadual e um terceiro (convenente / Organização da Sociedade Civil (OSC) parceira), com previsão de repasse de recursos pelo órgão concedente ao convenente / OSC, com o intuito de realizar ação ou projeto de interesse comum.;;;;;;
Convênios;Convênios / Parcerias de Saída de Recursos;Pesquisa Básica;Concedente / Órgão ou Entidade Estadual Parceiro;Valor Concedente / Órgão ou Entidade Estadual Parceiro Atualizado;Página Inicial / Convênios / Convênio / Parcerias de Saída de Recursos;não;não;sim;Valor financeiro previsto no convênio / parceria para o órgão concedente ou entidade estadual parceiro repassar ao convenente / Organização da Sociedade Civil (OSC) parceira, incluindo termos aditivos.;;;;;;
Convênios;Convênios / Parcerias de Saída de Recursos;Pesquisa Básica;Concedente / Órgão ou Entidade Estadual Parceiro;Valor Emenda Parlamentar Atualizado;Página Inicial / Convênios / Convênio / Parcerias de Saída de Recursos;não;não;sim;Valor financeiro referente a indicação de um ou mais deputados estaduai, previsto no convênio / parceira para o órgão concedente repassar ao convenente, incluindo termos aditivos.;;;;;;
Convênios;Convênios / Parcerias de Saída de Recursos;Pesquisa Básica;Concedente / Órgão ou Entidade Estadual Parceiro;Valor Interveniente / Outras Fontes Atualizado;Página Inicial / Convênios / Convênio / Parcerias de Saída de Recursos;não;não;sim;Valor financeiro previsto no convênio / parceria para o interveniente (entidade pública ou privada que participa do convênio para manifestar consentimento ou assumir obrigações) ou outros partícipes repassar ao convenente, incluidno termos aditivos.;;;;;;
Convênios;Convênios / Parcerias de Saída de Recursos;Pesquisa Básica;Concedente / Órgão ou Entidade Estadual Parceiro;Valor Contrapartida Atualizado;Página Inicial / Convênios / Convênio / Parcerias de Saída de Recursos;não;não;sim;Valor financeiro previsto no convênio / parceira referente a contrapartida financeira a ser dada pelo convenente (entidade ou pessoa que firmou a parceria com o órgão concedente), incluindo termos aditivos;;;;;;
Convênios;Convênios / Parcerias de Saída de Recursos;Pesquisa Básica;Concedente / Órgão ou Entidade Estadual Parceiro;Valor Total Atualizado;Página Inicial / Convênios / Convênio / Parcerias de Saída de Recursos;não;não;sim;Valor financeiro total do convênio/parceria, incluindo termos aditivos. Refere-se à soma dos valores do concedente / órgão ou entidade estadual parceiro, emenda parlamentar, interveniente, outras fontes, contrapartida e rendimentos financeiros provenientes da aplicação dos recursos depositados na conta bancária do convênio / parceira.;;;;;;
Convênios;Convênios / Parcerias de Saída de Recursos;Pesquisa Básica;Concedente / Órgão ou Entidade Estadual Parceiro;Valor Repassado pelo Concedente / Órgão ou Entidade Estadual Parceiro;Página Inicial / Convênios / Convênio / Parcerias de Saída de Recursos;não;não;sim;Valor financeiro repassado pelo concedente/órgão ou entidade estadual parceiro ao convenente / Organização da Sociedade Civil (OSC) parceria, referente ao(s) convênios(s)/parceria(s) firmados(s) entre as partes por meio de pagamento via SIAFI. Abrange o valor do concedente / órgão ou entidade estadual parceiro, das emendas parlamentares e outras funções. O efetivo pagamento pode estar sujeito a compensação bancária.;;;;;;
Convênios;Convênios / Parcerias de Saída de Recursos;Pesquisa Básica;Concedente / Órgão ou Entidade Estadual Parceiro;Município do Convenente / OSC Parceira;Página Inicial / Convênios / Convênio / Parcerias de Saída de Recursos / Concedentes/Órgãos ou Entidades Estaduais Parceiras;não;sim;sim;Município onde se localiza o convenente (órgão / entidade pública ou privada) ou Organização da Sociedade Civil (OSC) parceira, que celebrou a parceria com o Estado para a execução de projeto ou atividade de interesse comum.;;;;;;
Convênios;Convênios / Parcerias de Saída de Recursos;Pesquisa Básica;Concedente / Órgão ou Entidade Estadual Parceiro;CNPJ;Página Inicial / Convênios / Convênio / Parcerias de Saída de Recursos / Concedentes/Órgãos ou Entidades Estaduais Parceiras / Município;não;não;sim;Número de identificação - Cadastro nacional de pessoa jurídica (CNPJ);;;;;;
Convênios;Convênios / Parcerias de Saída de Recursos;Pesquisa Básica;Concedente / Órgão ou Entidade Estadual Parceiro;Convenente / OSC Parceira;Página Inicial / Convênios / Convênio / Parcerias de Saída de Recursos / Concedentes/Órgãos ou Entidades Estaduais Parceiras / Município;não;sim;sim;Órgão / entidade (pública ou privada) que celebrou a parceria com o Estado para a execução de projeto ou atividade de interesse comum e, para isso, recebe recursos repassados pelo concedente / órgão ou entidade estadual parceiro;;;;;;
