GRUPO;CONSULTA_PORTAL;TIPO_CONSULTA;FILTRO;CAMPO_PORTAL;MIGALHA;PERMITE_SELECAO;PERMITE_CLIQUE;POSSUI_TOOLTIP;TOOLTIP_DESCRICAO_PORTAL;OBSERVACAO;CAMPO_DERIVADO;ORIGEM_DADOS;CAMPO_ORIGEM_DADOS;DIMENSAO_ORIGEM_DADOS;TOOLTIP_ORIGEM_DADOS
Convênios;Convênios de Entrada;Pesquisa Básica;;Ano;Página Inicial / Convênios / Convênio de entrada de recursos;sim;não;não;-;-;;armazém SIAFI;Ano de exercício;Período Contábil ;Ano de exercício do Orçamento Fiscal (Formato AAAA)
Convênios;Convênios de Entrada;Pesquisa Básica;;Órgão Proponente;Página Inicial / Convênios / Convênio de entrada de recursos;sim;não;não;-;-;;armazém SIAFI;Proponente;UNIDADE EXECUTORA DO CONVÊNIO >> Proponente;Nome completo do Proponente
Convênios;Convênios de Entrada;Pesquisa Básica;;Inicio/Fim;Página Inicial / Convênios / Convênio de entrada de recursos;sim;não;não;-;-;;armazém SIAFI;Mês - Númerico;Período Contábil ;Mês numérico de registro do documento SIAFI (0 a 14)
Convênios;Convênios de Entrada;Pesquisa Básica;Órgão Proponente;CNPJ;Página Inicial / Convênios / Convênio de entrada de recursos;não;não;sim;Númer de identificação - Cadastro nacional de pessoa jurídica (CNPJ);;;armazém SIAFI;Plano Trabalho CNPJ Proponente;Plano Trabalho;-
Convênios;Convênios de Entrada;Pesquisa Básica;Órgão Proponente;Órgão Proponente;Página Inicial / Convênios / Convênio de entrada de recursos;não;sim;sim;Órgão ou entidade da administração pública estadual com o qual o concedente (governo federal, prefeitura, associação, etc. ) pactua a execução de programa, projeto, atividade ou evento mediante a celebração de convênio;;;armazém SIAFI;Proponente;UNIDADE EXECUTORA DO CONVÊNIO >> Proponente;Nome completo do Proponente
Convênios;Convênios de Entrada;Pesquisa Básica;Órgão Proponente;Valor Concedente Atualizado;Página Inicial / Convênios / Convênio de entrada de recursos;não;não;sim;Valor financeiro previsto no convênio para o concedente repassar ao proponente, incluindo termos aditivos;;;armazém SIAFI;Valor Concedente;CONVÊNIO;Corresponde ao Valor Inicial do Concedente Contratado + Valor Total Aditado Concedente Contratado
Convênios;Convênios de Entrada;Pesquisa Básica;Órgão Proponente;Valor Proponente Atualizado;Página Inicial / Convênios / Convênio de entrada de recursos;não;não;sim;Valor previsto no convênio para o proponente dar como contrapartida financeira, incluindo termos aditivos;;;armazém SIAFI;Valor Proponente;CONVÊNIO;Corresponde a soma do Valor Inicial Proponente Contratado + Valor Total Aditado Proponente Contratado
Convênios;Convênios de Entrada;Pesquisa Básica;Órgão Proponente;Valor Total Convênio Entrada Atualizado;Página Inicial / Convênios / Convênio de entrada de recursos;não;não;sim;Valor financeiro total do convênio, incluindo termos aditivos. Refere-se à soma dos valores do concedente e contrapartida do proponente.;;;armazém SIAFI;Valor Total Convênio;CONVÊNIO;Corresponde a soma do Valor Concedente + Valor Proponente
Convênios;Convênios de Entrada;Pesquisa Básica;Órgão Proponente;Número Convênio SIGCON;Página Inicial / Convênios / Convênio de entrada de recursos / Órgãos Proponentes;não;sim;sim;Número de identificação do convênio no Sistema de Gestão de Convênios Módulo de Entrada (SIGCON-Entrada);;;armazém SIAFI;Convênio Código;Convênio;Código do convênio informado pelo usuário
Convênios;Convênios de Entrada;Pesquisa Básica;Órgão Proponente;Número Convênio SIAFI;Página Inicial / Convênios / Convênio de entrada de recursos / Órgãos Proponentes;não;não;sim;Número de identificação do convênio no Sistema Integrado de Administração Financeira (SIAFI). Permite identificar as receitas, despesas e compras vinculados ao convênio;;;armazém SIAFI;Convênio Número Sequencial SIAFI;Convênio;Número sequencial do SIAFI
Convênios;Convênios de Entrada;Pesquisa Básica;Órgão Proponente;Título Convênio ;Página Inicial / Convênios / Convênio de entrada de recursos / Órgãos Proponentes;não;não;sim;Nome ou descrição que sintetiza o objeto do convênio, acordo ou ajuste que disciplina a transferência de recursos financeiros de uma entidade para um órgão da administração pública estadual, visando à execução de programa de governo, projeto, atividade, serviço, aquisição de bens ou evento de interesse recíproco, em regime de mútua cooperação.;;;armazém SIAFI;Plano Trabalho Título;Plano Trabalho;Título do Plano de Trabalho
Convênios;Convênios de Entrada;Pesquisa Básica;Órgão Proponente;Concedente;Página Inicial / Convênios / Convênio de entrada de recursos / Órgãos Proponentes;não;não;sim;Órgão ou entidade responsável pela transferência dos recursos ;;;armazém SIAFI;Plano Trabalho Razão Social Concedente;Plano Trabalho;-
Convênios;Convênios de Entrada;Pesquisa Básica;Órgão Proponente;Data de Publicação Convênio Entrada;Página Inicial / Convênios / Convênio de entrada de recursos / Órgãos Proponentes;não;não;sim;Data de publicação do extrato do convênio no Diário Oficial da União, Estados ou Municípios;;;armazém SIAFI;Convênio Data de Publicação;Convênio;Data de publicação do Convênio
Convênios;Convênios de Entrada;Pesquisa Básica;Órgão Proponente;Data Atualizada Convênio Entrada;Página Inicial / Convênios / Convênio de entrada de recursos / Órgãos Proponentes;não;não;sim;Data de término da vigência do convênio, de acordo com o termo de convênio atualizado (incluindo aditivos). Data limite para a execução do plano de trabalho do convênio, incluindo recebimento de recursos.;;;armazém SIAFI;Data Término Vigência;CONVÊNIO;-
Convênios;Convênios de Entrada;Formulário de Detalhamento;Órgão Proponente;Nº do Convênio SIAFI;Página Inicial / Convênios / Convênio de entrada de recursos / Órgãos Proponentes / Órgão Proponente;não;não;não;-;-;;armazém SIAFI;Convênio Número Sequencial SIAFI;Convênio;Número sequencial do SIAFI
