GRUPO;CONSULTA_PORTAL;TIPO_CONSULTA;FILTRO;CAMPO_PORTAL;MIGALHA;PERMITE_SELECAO;PERMITE_CLIQUE;POSSUI_TOOLTIP;TOOLTIP_DESCRICAO_PORTAL;OBSERVACAO;CAMPO_DERIVADO;ORIGEM_DADOS;CAMPO_ORIGEM_DADOS;TIPO_CAMPO_ARMAZEM;DIMENSAO_ORIGEM_DADOS;TOOLTIP_ORIGEM_DADOS
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Básica;;Ano;Crédito Orçamentária;sim;não;não;;;;armazém SIAFI;Ano de exercício;númerico;Período Contábil;Ano de exercídio do Orçamento Fiscal
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Básica;;Órgão;Crédito Orçamentária / Órgão;não;sim;sim;Nome da unidade orçamentária na qual a despesa está orçada.;;sim;armazém SIAFI;Unidade Orçamentária -nome;descrição;Unidade Orçamentária;Nome Completo da Unidade Orçamentária
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Básica;;Crédito Autorizado;Crédito Orçamentária / Órgão;não;não;sim;Valor monetário do orçamento, considerando a Lei Orçamentária Anual, as suplementações oriundas dos créditos adicionais e os remanejamentos realizados entre dotações orçamentárias.;;;armazém SIAFI;Valor Crédito Autorizado;valor;Execução Orçamentária da Despesa  >> Alteração Orçamentária;Valor total, em reais, do crédito disponível para a execução da despesa, resultante da expressão: (Valor de crédito Inicial - Valor de crédito inicial anulado por errata + Valor de crédito inicial acrescido por errata) + Valor de suplementação + Valor de crédito extraordinário + Valor de crédito especial - Valor de anulação de crédito + Valor de remanejamento de suplementação - Valor de remanejamento de anulação
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Básica;;Crédito Inicial;Crédito Orçamentária / Órgão;não;não;sim;Valor monetário do orçamento instituído pela Lei Orçamentária Anual.;;;armazém SIAFI;Valor Crédito Inicial;valor;Execução Orçamentária da Despesa  >> Alteração Orçamentária;Valor em reais, do crédito aprovado pela Lei Orçamentária, resultante da expressão: Valor Crédito Inicial - Valor Crédito Inicial Anulado + Valor crédito inicial acrescido por errata
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Básica;;Função;Crédito Orçamentária / Órgão;não;sim;sim;Áreas de atuação do setor público nas quais são gastos os recursos, tais como saúde, educação, administração, transportes, etc.;;sim;armazém SIAFI;Função - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> Programa de Trabalho - Alteração;Descrição do nível máximo de agregação das ações do Governo
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Básica;;Programa;Crédito Orçamentária / Órgão / Função;não;não;sim;Conjunto de ações para atender um problema ou demanda da sociedade.;;sim;armazém SIAFI;Programa - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> Programa de Trabalho - Alteração;Descrição do objetivo concreto, bem ou serviço que se quer atingir
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Básica;;Ação;Crédito Orçamentária / Órgão / Função;não;sim;sim;Conjunto de operações das quais resulta a entrega de um produto (bem, serviço ou transferência financeira) que contribui para atender ao objetivo de um programa.;-;sim;armazém SIAFI;Projeto Atividade - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> Programa de Trabalho - Alteração;Código identificador do conjunto de operações, limitadas no tempo (projeto) ou realizadas de modo contínuo e permanente (atividade) dos quais resulta um produto final (projeto) ou necessárias à manutenção da ação governamental (atividade)
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Básica;;Grupo;Crédito Orçamentária / Órgão / Função / Ação;não;não;sim;Classificação da despesa que agrega elementos de despesa quanto ao objeto do gasto (pessoal, juros, amortização da dívida, investimentos, etc.).;;sim;armazém SIAFI;Grupo Despesa - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> GMIFP - Alteração;"Descrição do grupo de natureza econômica da despesa: Pessoal e Encargos Sociais; Juros e Encargos da Divida; Outras Despesas Correntes; Investimentos; Inversões Financeiras; Amortização da Divida"
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Básica;;Modalidade de Aplicação;Crédito Orçamentária / Órgão / Função / Ação;não;não;sim;Indica se os recursos são aplicados diretamente por órgãos ou entidades no âmbito da mesma esfera de Governo ou por outro ente da Federação.;;sim;armazém SIAFI;Modalidade de Aplicação - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> GMIFP - Alteração;Classificação da natureza da despesa que traduz a forma como os recursos serão aplicados pelos órgãos/entidades, podendo ser diretamente pelos mesmos ou sob a forma de transferências a outras entidades públicas ou privadas que se encarregarão da execução das ações
Planejamento e Resultados;Crédito Orçamentário;Pesquisa Básica;;Indicador de Ação Governamental;Crédito Orçamentária / Órgão / Função / Ação;não;não;sim;O Indicador de Ação Governamental (IGA) indica o tipo de acompanhamento que é feito da ação: geral ou intensivo.;;sim;armazém SIAFI;Indicador Orçamento - Descrição;descrição;Execução Orçamentária da Despesa >> Alteração Orçamentária >> GMIFP - Alteração;"Identificador do orçamento conforme o SIAFI-MG: Projeto não estruturador; Projeto estruturador; Não estruturador; Estruturador"
