GRUPO;CONSULTA_PORTAL;TIPO_CONSULTA;FILTRO;CAMPO_PORTAL;MIGALHA;PERMITE_SELECAO;PERMITE_CLIQUE;POSSUI_TOOLTIP;TOOLTIP_DESCRICAO_PORTAL;OBSERVACAO;CAMPO_DERIVADO;ORIGEM_DADOS;CAMPO_ORIGEM_DADOS;DIMENSAO_ORIGEM_DADOS;TOOLTIP_ORIGEM_DADOS
Dívida Pública;Execução da Dívida;Pesquisa Básica;;Ano;Página Inicial / Dívida Pública / Execução da dívida;sim;não;não;;-;não;armazém SIAFI;Ano de exercício;Período Contábil ;Ano de exercício do orçamento fiscal (formato AAAA)
Dívida Pública;Execução da Dívida;Pesquisa Básica;;Tipo de Dívida;Página Inicial / Dívida Pública / Execução da dívida;não;sim;sim;Compromissos financeiros assumidos pelo governo, podem ser dívida pública interna (entidade pública dentro do país) e dívida pública externa (entidade pública no exterior).;Para obter a infomação utiliza-se os códigos 7886 (Gestão da Díivida Fundada Contratual Externa) e 7896 (Gestão da Díivida Fundada Contratual Interna) vs a Unidade Orçamentária;sim;armazém SIAFI;Projeto Atividade  - Descrição vs Unidade Orçamentária - Nome vc Tipo de ContratoConvênio Entrada ;Unidade Orçamentária // Projeto Atividade - Descrição;"Nome completo da Unidade Orçamentária // Descrição do grupo de natureza econômica da despesa: Pessoal e Encargos Sociais; Juros e Encargos da Divida; Outras Despesas Correntes; Investimentos; Inversões Financeiras; Amortização da Divida; Reserva de Contingência"
Dívida Pública;Execução da Dívida;Pesquisa Básica;;Credor;Página Inicial / Dívida Pública / Execução da dívida / Tipo de Dívida;não;sim;sim;Entidades, governos e pessoas nacionais e estrangeiras com as quais o governo estadual contrai dívidas.;-;não;armazém SIAFI;Razão Social Credor;Execução Orçamentária da Despesa >> Despesa Realizada >> Credor - Despesa;
Dívida Pública;Execução da Dívida;Pesquisa Básica;;CNPJ;Página Inicial / Dívida Pública / Execução da dívida / Tipo de Dívida;não;não;sim;Número de Identificação -  Cadastro Nacional de Pessoa Jurídica;-;não;armazém SIAFI;CNPJ_CPF Credor;Execução Orçamentária da Despesa >> Despesa Realizada >> Credor - Despesa;Código de CNPJ ou CPF do credor
Dívida Pública;Execução da Dívida;Pesquisa Básica;;Amortização da Dívida;Página Inicial / Dívida Pública / Execução da dívida / Tipo de Dívida;não;não;sim;Amortização efetiva do principal da dívida pública contratual, interna e externa e outros compromissos assumidos.;A informação desse campo é representada através do filtro dos dados do grupo de despesa, elemento item de despesa com ao valores da despesa liquidada;sim;armazém SIAFI;Valor Despesa Liquidada vs Grupo de Despesa vs elemento item de despesa;;
Dívida Pública;Execução da Dívida;Pesquisa Básica;;Juros e Encargos da Dívida;Página Inicial / Dívida Pública / Execução da dívida / Tipo de Dívida;não;não;sim;Taxas,Comissões, prêmios, e outros encargos com operações de crédito internas e externas e outros compromissos assumidos.;A informação desse campo é representada através do filtro dos dados do grupo de despesa, elemento item de despesa com ao valores da despesa liquidada;sim;armazém SIAFI;Valor Despesa Liquidada vs Grupo de Despesa vs elemento item de despesa;;
Dívida Pública;Execução da Dívida;Pesquisa Básica;;Total Realizado;Página Inicial / Dívida Pública / Execução da dívida / Tipo de Dívida;não;não;sim;Somatório dos juros e encargos da dívida mais amortização da dívida.;Campos existe apenas no PdT;sim;#NA;#NA;;
Dívida Pública;Execução da Dívida;Pesquisa Básica;;Número do Contrato;Página Inicial / Dívida Pública / Execução da dívida / Tipo de Dívida / Credor;não;não;sim;Número que identifica o instrumento de contratação.;-;não;armazém SIAFI;NÃO LOCALIZADO - Número do Contrato;;
Dívida Pública;Execução da Dívida;Pesquisa Básica;;Número SIAFI;Página Inicial / Dívida Pública / Execução da dívida / Tipo de Dívida / Credor;não;não;sim;Número de identificação no SIAFI (Sistema Integrado de Administração Financeira).;-;não;armazém SIAFI;NÃO LOCALIZADO -Número SIAFI;;
Dívida Pública;Execução da Dívida;Pesquisa Básica;;Data de Assinatura;Página Inicial / Dívida Pública / Execução da dívida / Tipo de Dívida / Credor;não;não;sim;Data em que a vigência do contrato inicia.;-;não;armazém SIAFI;NÃO LOCALIZADO - Data de Assinatura;;
Dívida Pública;Execução da Dívida;Pesquisa Básica;;Data de Vencimento;Página Inicial / Dívida Pública / Execução da dívida / Tipo de Dívida / Credor;não;não;sim;Data em que a vigência do contrato termina.;-;não;armazém SIAFI;NÃO LOCALIZADO - Data de Vencimento;;
Dívida Pública;Execução da Dívida;Pesquisa Básica;;Valor Inicial Contratado;Página Inicial / Dívida Pública / Execução da dívida / Tipo de Dívida / Credor;não;não;sim;Valor previsto em contrato para execução do objeto contratado.;-;não;armazém SIAFI;NÃO LOCALIZADO - Valor Inicial do Contrato;;
