GRUPO;CONSULTA_PORTAL;TIPO_CONSULTA;FILTRO;CAMPO_PORTAL;MIGALHA;PERMITE_SELECAO;PERMITE_CLIQUE;POSSUI_TOOLTIP;TOOLTIP_DESCRICAO_PORTAL;OBSERVACAO;CAMPO_DERIVADO;ORIGEM_DADOS;CAMPO_ORIGEM_DADOS;DIMENSAO_ORIGEM_DADOS;TOOLTIP_ORIGEM_DADOS
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Básica;;ano;Proposta Orçamentária;sim;não;não;;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Básica;;Órgão;Proposta Orçamentária / Órgãos;não;sim;sim;Nome da unidade orçamentária na qual a despesa foi proposta no Projeto de Lei Orçamentária.;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Básica;;Proposta de Crédito;Proposta Orçamentária / Órgãos;não;não;sim;Valor monetário referente à despesa proposta no Projeto de Lei Orçamentária.;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Básica;;Função;Proposta Orçamentária / Órgãos;não;sim;sim;Áreas de atuação do setor público nas quais são gastos os recursos, tais como saúde, educação, administração, transportes, etc.;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Básica;;Programa;Proposta Orçamentária / Órgãos / Função;não;não;sim;Conjunto de ações para atender um problema ou demanda da sociedade.;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Básica;;Ação;Proposta Orçamentária / Órgãos / Função;não;sim;sim;Conjunto de operações das quais resulta a entrega de um produto (bem, serviço ou transferência financeira) que contribui para atender ao objetivo de um programa.;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Básica;;Grupo;Proposta Orçamentária / Órgãos / Ação;não;não;sim;Classificação da despesa que agrega elementos de despesa quanto ao objeto do gasto (pessoal, juros, amortização da dívida, investimentos, etc.).;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Básica;;Modalidade de Aplicação;Proposta Orçamentária / Órgãos / Ação;não;não;sim;Indica se os recursos são aplicados diretamente por órgãos ou entidades no âmbito da mesma esfera de Governo ou por outro ente da Federação.;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Básica;;Indicador de Ação Governamental;Proposta Orçamentária / Órgãos / Ação;não;não;sim;O Indicador de Ação Governamental (IGA) indica o tipo de acompanhamento que é feito da ação: geral ou intensivo.;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Básica;;Fonte de Recurso;Proposta Orçamentária / Órgãos / Ação;não;não;sim;Indica a origem do dinheiro arrecadado. Combina a origem do dinheiro às despesas orçamentárias. Esta vinculação visa demonstrar o montante de dinheiro que já está comprometido com o atendimento de determinadas finalidades, e aquele que pode ser livremente alocado.;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Básica;;Identificador de Procedência e Uso;Proposta Orçamentária / Órgãos / Ação;não;não;sim;Identifica a origem e a utilização dos recursos. Ex.: se os recursos são para livre utilização, se foram transferidos de outra unidade orçamentária, se são para contrapartida a convênios, etc.;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Avançada;Checkbox;Ano;Proposta Orçamentária / Pesquisa Avançada;sim;não;não;;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Avançada;Checkbox;Órgão;Proposta Orçamentária / Pesquisa Avançada;sim;não;não;;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Avançada;Checkbox;Função;Proposta Orçamentária / Pesquisa Avançada;sim;não;não;;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Avançada;Checkbox;Subfunção;Proposta Orçamentária / Pesquisa Avançada;sim;não;não;;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Avançada;Checkbox;Programa;Proposta Orçamentária / Pesquisa Avançada;sim;não;não;;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Avançada;Checkbox;Ação;Proposta Orçamentária / Pesquisa Avançada;sim;não;não;;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Avançada;Checkbox;Categoria Ecônomica da Despesa;Proposta Orçamentária / Pesquisa Avançada;sim;não;não;;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Avançada;Checkbox;Grupo;Proposta Orçamentária / Pesquisa Avançada;sim;não;não;;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Avançada;Checkbox;Modalidade de Aplicação;Proposta Orçamentária / Pesquisa Avançada;sim;não;não;;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Avançada;Checkbox;Indicador de Ação Governamental;Proposta Orçamentária / Pesquisa Avançada;sim;não;não;;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Avançada;Checkbox;Fonte de Recurso;Proposta Orçamentária / Pesquisa Avançada;sim;não;não;;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Avançada;Checkbox;Indicador de Procência e Uso;Proposta Orçamentária / Pesquisa Avançada;sim;não;não;;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Avançada;Tabela de resultados;Órgão;Proposta Orçamentária / Pesquisa Avançada;não;não;sim;Nome da unidade orçamentária na qual a despesa foi proposta no Projeto de Lei Orçamentária.;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Avançada;Tabela de resultados;Função;Proposta Orçamentária / Pesquisa Avançada;não;não;sim;Áreas de atuação do setor público nas quais são gastos os recursos, tais como saúde, educação, administração, transportes, etc.;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Avançada;Tabela de resultados;Subfunção;Proposta Orçamentária / Pesquisa Avançada;não;não;sim;Identifica a natureza básica das ações que se aglutinam em torno das funções.;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Avançada;Tabela de resultados;Programa;Proposta Orçamentária / Pesquisa Avançada;não;não;sim;Conjunto de ações para atender um problema ou demanda da sociedade.;;;SISOR - Transacional;;;
Planejamento e Resultados;Proposta Orçamentária;Pesquisa Avançada;Tabela de resultados;Ação;Proposta Orçamentária / Pesquisa Avançada;não;não;sim;Conjunto de operações das quais resulta a entrega de um produto (bem, serviço ou transferência financeira) que contribui para atender ao objetivo de um programa.;;;SISOR - Transacional;;;
